seq_id,start,end,gc%
example,1990,2080,67.78
example,2000,2090,68.89
example,2010,2100,67.78
example,2020,2110,67.78
example,2030,2120,67.78
example,2040,2130,68.89
example,2050,2140,68.89
example,2060,2150,71.11
example,2070,2160,68.89
example,2080,2170,68.89
example,2090,2180,67.78
example,2100,2190,68.89
example,2110,2200,66.67
example,2120,2210,64.44
example,2130,2220,62.22
example,2140,2230,61.11
example,2150,2240,57.78
example,2160,2250,55.56
example,2170,2260,53.33
example,2180,2270,52.22
example,2190,2280,51.11
example,2200,2290,52.22
example,2210,2300,57.78
example,2220,2310,61.11
example,2230,2320,63.33
example,2240,2330,66.67
example,2250,2340,70.0
example,2260,2350,71.11
example,2270,2360,71.11
example,2280,2370,70.0
example,2290,2380,68.89
example,2300,2390,64.44
example,2310,2400,61.11
example,2320,2410,62.22
example,2330,2420,57.78
example,2340,2430,54.44
example,2350,2440,50.0
example,2360,2450,44.44
example,2370,2460,43.33
example,2380,2470,38.89
example,2390,2480,36.67
example,2400,2490,32.22
example,2410,2500,28.89
example,2420,2510,27.78
example,2430,2520,30.0
example,2440,2530,32.22
example,2450,2540,35.56
example,2460,2550,34.44
example,2470,2560,38.89
example,2480,2570,40.0
example,2490,2580,42.22
example,2500,2590,44.44
example,2510,2600,44.44
example,2520,2610,40.0
example,2530,2620,36.67
example,2540,2630,37.78
example,2550,2640,41.11
example,2560,2650,40.0
example,2570,2660,36.67
example,2580,2670,36.67
example,2590,2680,34.44
example,2600,2690,34.44
example,2610,2700,32.22
example,2620,2710,32.22
example,2630,2720,28.89
example,2640,2730,25.56
example,2650,2740,22.22
example,2660,2750,25.56
example,2670,2760,24.44
example,2680,2770,22.22
example,2690,2780,22.22
example,2700,2790,25.56
example,2710,2800,26.67
example,2720,2810,25.56
example,2730,2820,26.67
example,2740,2830,26.67
example,2750,2840,26.67
example,2760,2850,25.56
example,2770,2860,24.44
example,2780,2870,21.11
example,2790,2880,23.33
example,2800,2890,26.67
example,2810,2900,34.44
example,2820,2910,37.78
example,2830,2920,43.33
example,2840,2930,45.56
example,2850,2940,51.11
example,2860,2950,58.89
example,2870,2960,64.44
example,2880,2970,66.67
example,2890,2980,67.78
example,2900,2990,65.56
example,2910,3000,64.44
example,2920,3010,64.44
example,2930,3020,65.56
example,2940,3030,58.89
example,2950,3040,52.22
example,2960,3050,54.44
example,2970,3060,52.22
example,2980,3070,52.22
example,2990,3080,51.11
example,3000,3090,51.11
example,3010,3100,51.11
example,3020,3110,52.22
example,3030,3120,57.78
example,3040,3130,60.0
example,3050,3140,60.0
example,3060,3150,62.22
example,3070,3160,63.33
example,3080,3170,58.89
example,3090,3180,56.67
example,3100,3190,53.33
example,3110,3200,47.78
example,3120,3210,45.56
example,3130,3220,43.33
example,3140,3230,37.78
example,3150,3240,33.33
example,3160,3250,27.78
example,3170,3260,28.89
example,3180,3270,30.0
example,3190,3280,32.22
example,3200,3290,36.67
example,3210,3300,38.89
example,3220,3310,41.11
example,3230,3320,42.22
example,3240,3330,42.22
example,3250,3340,43.33
example,3260,3350,44.44
example,3270,3360,41.11
example,3280,3370,38.89
example,3290,3380,35.56
example,3300,3390,32.22
example,3310,3400,32.22
example,3320,3410,31.11
example,3330,3420,32.22
example,3340,3430,34.44
example,3350,3440,34.44
example,3360,3450,35.56
example,3370,3460,34.44
example,3380,3470,33.33
example,3390,3480,33.33
example,3400,3490,35.56
example,3410,3500,38.89
example,3420,3510,38.89
example,3430,3520,36.67
example,3440,3530,36.67
example,3450,3540,34.44
example,3460,3550,36.67
example,3470,3560,38.89
example,3480,3570,40.0
example,3490,3580,40.0
example,3500,3590,37.78
example,3510,3600,36.67
example,3520,3610,37.78
example,3530,3620,38.89
example,3540,3630,43.33
example,3550,3640,43.33
example,3560,3650,43.33
example,3570,3660,43.33
example,3580,3670,42.22
example,3590,3680,42.22
example,3600,3690,44.44
example,3610,3700,43.33
example,3620,3710,43.33
example,3630,3720,40.0
example,3640,3730,38.89
example,3650,3740,35.56
example,3660,3750,33.33
example,3670,3760,33.33
example,3680,3770,37.78
example,3690,3780,35.56
example,3700,3790,36.67
example,3710,3800,35.56
example,3720,3810,34.44
example,3730,3820,37.78
example,3740,3830,37.78
example,3750,3840,40.0
example,3760,3850,40.0
example,3770,3860,34.44
example,3780,3870,33.33
example,3790,3880,33.33
example,3800,3890,32.22
example,3810,3900,31.11
example,3820,3910,26.67
example,3830,3920,25.56
example,3840,3930,26.67
example,3850,3940,25.56
example,3860,3950,25.56
example,3870,3960,26.67
example,3880,3970,24.44
example,3890,3980,28.89
example,3900,3990,32.22
example,3910,4000,33.33
example,3920,4010,38.89
example,3930,4020,37.78
example,3940,4030,36.67
example,3950,4040,40.0
example,3960,4050,42.22
example,3970,4060,43.33
example,3980,4070,42.22
example,3990,4080,45.56
example,4000,4090,43.33
example,4010,4100,44.44
example,4020,4110,46.67
example,4030,4120,48.89
example,4040,4130,45.56
example,4050,4140,44.44
example,4060,4150,45.56
example,4070,4160,44.44
example,4080,4170,44.44
example,4090,4180,47.78
example,4100,4190,42.22
example,4110,4200,40.0
example,4120,4210,36.67
example,4130,4220,38.89
example,4140,4230,37.78
example,4150,4240,35.56
example,4160,4250,35.56
example,4170,4260,35.56
example,4180,4270,35.56
example,4190,4280,37.78
example,4200,4290,36.67
example,4210,4300,37.78
example,4220,4310,34.44
example,4230,4320,33.33
example,4240,4330,34.44
example,4250,4340,32.22
example,4260,4350,27.78
example,4270,4360,25.56
example,4280,4370,21.11
example,4290,4380,20.0
example,4300,4390,21.11
example,4310,4400,23.33
example,4320,4410,23.33
example,4330,4420,26.67
example,4340,4430,28.89
example,4350,4440,31.11
example,4360,4450,33.33
example,4370,4460,34.44
example,4380,4470,36.67
example,4390,4480,37.78
example,4400,4490,37.78
example,4410,4500,38.89
example,4420,4510,38.89
example,4430,4520,37.78
example,4440,4530,36.67
example,4450,4540,33.33
example,4460,4550,40.0
example,4470,4560,36.67
example,4480,4570,32.22
example,4490,4580,31.11
example,4500,4590,30.0
example,4510,4600,24.44
example,4520,4610,26.67
example,4530,4620,27.78
example,4540,4630,27.78
example,4550,4640,26.67
example,4560,4650,30.0
example,4570,4660,33.33
example,4580,4670,34.44
example,4590,4680,36.67
example,4600,4690,35.56
example,4610,4700,33.33
example,4620,4710,32.22
example,4630,4720,35.56
example,4640,4730,34.44
example,4650,4740,34.44
example,4660,4750,35.56
example,4670,4760,40.0
example,4680,4770,41.11
example,4690,4780,47.78
example,4700,4790,51.11
example,4710,4800,52.22
example,4720,4810,50.0
example,4730,4820,51.11
example,4740,4830,52.22
example,4750,4840,54.44
example,4760,4850,53.33
example,4770,4860,53.33
example,4780,4870,53.33
example,4790,4880,54.44
example,4800,4890,56.67
example,4810,4900,60.0
example,4820,4910,60.0
example,4830,4920,57.78
example,4840,4930,56.67
example,4850,4940,56.67
example,4860,4950,56.67
example,4870,4960,55.56
example,4880,4970,54.44
example,4890,4980,54.44
example,4900,4990,56.67
example,4910,5000,52.22
example,4920,5010,55.56
example,4930,5020,54.44
example,4940,5030,54.44
example,4950,5040,53.33
example,4960,5050,56.67
example,4970,5060,56.67
example,4980,5070,56.67
example,4990,5080,54.44
example,5000,5090,61.11
example,5010,5100,62.22
example,5020,5110,63.33
example,5030,5120,63.33
example,5040,5130,63.33
example,5050,5140,57.78
example,5060,5150,60.0
example,5070,5160,57.78
example,5080,5170,57.78
example,5090,5180,54.44
example,5100,5190,53.33
example,5110,5200,51.11
example,5120,5210,50.0
example,5130,5220,52.22
example,5140,5230,54.44
example,5150,5240,51.11
example,5160,5250,53.33
example,5170,5260,52.22
example,5180,5270,53.33
example,5190,5280,51.11
example,5200,5290,51.11
example,5210,5300,51.11
example,5220,5310,50.0
example,5230,5320,46.67
example,5240,5330,45.56
example,5250,5340,45.56
example,5260,5350,45.56
example,5270,5360,45.56
example,5280,5370,43.33
example,5290,5380,45.56
example,5300,5390,46.67
example,5310,5400,45.56
example,5320,5410,46.67
example,5330,5420,47.78
example,5340,5430,47.78
example,5350,5440,47.78
example,5360,5450,47.78
example,5370,5460,51.11
example,5380,5470,48.89
example,5390,5480,47.78
example,5400,5490,50.0
example,5410,5500,53.33
example,5420,5510,55.56
example,5430,5520,53.33
example,5440,5530,52.22
example,5450,5540,51.11
example,5460,5550,52.22
example,5470,5560,53.33
example,5480,5570,53.33
example,5490,5580,53.33
example,5500,5590,51.11
example,5510,5600,50.0
example,5520,5610,50.0
example,5530,5620,52.22
example,5540,5630,52.22
example,5550,5640,52.22
example,5560,5650,52.22
example,5570,5660,53.33
example,5580,5670,52.22
example,5590,5680,54.44
example,5600,5690,54.44
example,5610,5700,56.67
example,5620,5710,57.78
example,5630,5720,58.89
example,5640,5730,56.67
example,5650,5740,56.67
example,5660,5750,55.56
example,5670,5760,58.89
example,5680,5770,57.78
example,5690,5780,57.78
example,5700,5790,58.89
example,5710,5800,55.56
example,5720,5810,55.56
example,5730,5820,55.56
example,5740,5830,55.56
example,5750,5840,56.67
example,5760,5850,53.33
example,5770,5860,53.33
example,5780,5870,52.22
example,5790,5880,51.11
example,5800,5890,52.22
example,5810,5900,52.22
example,5820,5910,51.11
example,5830,5920,50.0
example,5840,5930,50.0
example,5850,5940,50.0
example,5860,5950,50.0
example,5870,5960,47.78
example,5880,5970,48.89
example,5890,5980,47.78
example,5900,5990,44.44
example,5910,6000,48.89
example,5920,6010,46.67
example,5930,6020,45.56
example,5940,6030,45.56
example,5950,6040,47.78
example,5960,6050,52.22
example,5970,6060,48.89
example,5980,6070,46.67
example,5990,6080,47.78
example,6000,6090,40.0
example,6010,6100,43.33
example,6020,6110,42.22
example,6030,6120,40.0
example,6040,6130,37.78
example,6050,6140,32.22
example,6060,6150,31.11
example,6070,6160,32.22
example,6080,6170,33.33
example,6090,6180,38.89
example,6100,6190,38.89
example,6110,6200,38.89
example,6120,6210,41.11
example,6130,6220,38.89
example,6140,6230,40.0
example,6150,6240,44.44
example,6160,6250,47.78
example,6170,6260,44.44
example,6180,6270,45.56
example,6190,6280,47.78
example,6200,6290,51.11
example,6210,6300,51.11
example,6220,6310,53.33
example,6230,6320,55.56
example,6240,6330,53.33
example,6250,6340,52.22
example,6260,6350,54.44
example,6270,6360,52.22
example,6280,6370,48.89
example,6290,6380,45.56
example,6300,6390,44.44
example,6310,6400,44.44
example,6320,6410,44.44
example,6330,6420,43.33
example,6340,6430,45.56
example,6350,6440,45.56
example,6360,6450,45.56
example,6370,6460,45.56
example,6380,6470,45.56
example,6390,6480,47.78
example,6400,6490,46.67
example,6410,6500,44.44
example,6420,6510,46.67
example,6430,6520,44.44
example,6440,6530,45.56
example,6450,6540,47.78
example,6460,6550,48.89
example,6470,6560,48.89
example,6480,6570,47.78
example,6490,6580,50.0
example,6500,6590,52.22
example,6510,6600,50.0
example,6520,6610,46.67
example,6530,6620,44.44
example,6540,6630,41.11
example,6550,6640,41.11
example,6560,6650,42.22
example,6570,6660,44.44
example,6580,6670,43.33
example,6590,6680,43.33
example,6600,6690,43.33
example,6610,6700,45.56
example,6620,6710,46.67
example,6630,6720,48.89
example,6640,6730,48.89
example,6650,6740,50.0
example,6660,6750,46.67
example,6670,6760,47.78
example,6680,6770,46.67
example,6690,6780,47.78
example,6700,6790,52.22
example,6710,6800,55.56
example,6720,6810,56.67
example,6730,6820,60.0
example,6740,6830,61.11
example,6750,6840,62.22
example,6760,6850,61.11
example,6770,6860,61.11
example,6780,6870,63.33
example,6790,6880,61.11
example,6800,6890,56.67
example,6810,6900,54.44
example,6820,6910,48.89
example,6830,6920,44.44
example,6840,6930,45.56
example,6850,6940,48.89
example,6860,6950,48.89
example,6870,6960,47.78
example,6880,6970,47.78
example,6890,6980,51.11
example,6900,6990,52.22
example,6910,7000,55.56
example,6920,7010,60.0
